condition,metric,value
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,54.5
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.04597701149425288
TR-Greedy,rouge2,0.023529411764705882
TR-Greedy,rougeL,0.04597701149425288
TR-Greedy,length_ratio,36.0
TR-Greedy,bleu,0.00836886020376377
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,18.333333333333332
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.02222222222222222
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.02222222222222222
TR-Greedy,length_ratio,68.0
TR-Greedy,bleu,0.004562454050880755
TR-Greedy,rouge1,0.08450704225352113
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.07042253521126761
TR-Greedy,length_ratio,8.6
TR-Greedy,bleu,0.0035896057761679325
TR-Greedy,rouge1,0.08163265306122448
TR-Greedy,rouge2,0.0625
TR-Greedy,rougeL,0.08163265306122448
TR-Greedy,length_ratio,24.666666666666668
TR-Greedy,bleu,0.013499082584817912
TR-Greedy,rouge1,0.06185567010309278
TR-Greedy,rouge2,0.04210526315789474
TR-Greedy,rougeL,0.06185567010309278
TR-Greedy,length_ratio,39.0
TR-Greedy,bleu,0.00827096195706027
TR-Greedy,rouge1,0.06493506493506494
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.06493506493506494
TR-Greedy,length_ratio,10.11111111111111
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.08403361344537816
TR-Greedy,rouge2,0.06837606837606837
TR-Greedy,rougeL,0.08403361344537816
TR-Greedy,length_ratio,33.5
TR-Greedy,bleu,0.009244213267997516
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,64.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.02469135802469136
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.01234567901234568
TR-Greedy,length_ratio,24.666666666666668
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,43.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.04210526315789474
TR-Greedy,rouge2,0.02150537634408602
TR-Greedy,rougeL,0.04210526315789474
TR-Greedy,length_ratio,29.5
TR-Greedy,bleu,0.004877178495671594
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,40.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,28.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.1
TR-Greedy,rouge2,0.0847457627118644
TR-Greedy,rougeL,0.1
TR-Greedy,length_ratio,17.5
TR-Greedy,bleu,0.027497855348380153
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,74.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,29.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,38.5
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,80.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.018181818181818184
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.018181818181818184
TR-Greedy,length_ratio,69.0
TR-Greedy,bleu,0.004135480978530135
TR-Greedy,rouge1,0.03053435114503817
TR-Greedy,rouge2,0.015503875968992246
TR-Greedy,rougeL,0.03053435114503817
TR-Greedy,length_ratio,40.0
TR-Greedy,bleu,0.0
TR-Greedy,rouge1,0.0
TR-Greedy,rouge2,0.0
TR-Greedy,rougeL,0.0
TR-Greedy,length_ratio,40.0
